satellite	date[UT]	RA[hh:mm:ss]	DEC[dd:mm:ss]
ONEWEB-0500-ID-0429	2022-09-12 09:13:00	00:00:03.39	-18:58:42.16
ONEWEB-0519-ID-0448	2022-09-12 09:15:00	23:09:05.64	-39:27:02.86
ONEWEB-0148-ID-0126	2022-09-12 09:17:00	01:40:09.69	-36:29:47.50
ONEWEB-0163-ID-0128	2022-09-12 09:17:00	01:01:08.84	-59:07:21.23
ONEWEB-0167-ID-0131	2022-09-12 09:17:00	02:16:35.43	+25:17:21.60
ONEWEB-0174-ID-0139	2022-09-12 09:17:00	01:36:02.45	-40:24:55.59
ONEWEB-0316-ID-0278	2022-09-12 09:17:00	09:15:56.33	-57:59:20.25
ONEWEB-0514-ID-0443	2022-09-12 09:17:00	23:42:32.23	-20:56:58.25
ONEWEB-0523-ID-0452	2022-09-12 09:18:00	23:59:40.77	-14:45:59.52
ONEWEB-0337-ID-0302	2022-09-12 09:20:00	02:03:01.57	+11:55:42.94
ONEWEB-0339-ID-0304	2022-09-12 09:20:00	01:57:56.05	+02:16:19.27
ONEWEB-0510-ID-0439	2022-09-12 09:20:00	23:50:13.68	-16:44:05.43
ONEWEB-0116-ID-0113	2022-09-12 09:24:00	01:44:57.60	+00:39:30.12
ONEWEB-0345-ID-0310	2022-09-12 09:26:00	00:06:43.77	-57:56:54.41
ONEWEB-0158-ID-0121	2022-09-12 09:28:00	01:31:41.24	-03:01:16.72
ONEWEB-0173-ID-0136	2022-09-12 09:30:00	00:29:36.24	-45:33:39.67
ONEWEB-0355-ID-0317	2022-09-12 09:31:00	01:16:09.43	-11:16:00.93
ONEWEB-0160-ID-0127	2022-09-12 09:33:00	01:26:58.78	+07:14:20.59
ONEWEB-0155-ID-0124	2022-09-12 09:35:00	00:28:51.25	-36:43:54.47
ONEWEB-0333-ID-0298	2022-09-12 09:35:00	01:24:10.20	+09:21:11.28
ONEWEB-0172-ID-0138	2022-09-12 09:36:00	01:24:09.21	+11:08:51.82
ONEWEB-0157-ID-0122	2022-09-12 09:42:00	00:37:49.85	-20:37:52.26
ONEWEB-0168-ID-0135	2022-09-12 09:45:00	00:36:29.45	-17:33:55.41
ONEWEB-0322-ID-0291	2022-09-12 09:45:00	23:49:34.32	-41:33:20.51
ONEWEB-0166-ID-0132	2022-09-12 09:47:00	00:27:08.38	-21:05:57.13
ONEWEB-0101-ID-0116	2022-09-12 09:50:00	23:48:39.92	-37:22:08.05
ONEWEB-0307-ID-0288	2022-09-12 09:52:00	23:55:46.96	-32:47:33.50
ONEWEB-0328-ID-0296	2022-09-12 09:52:00	23:40:27.39	-38:43:44.52
ONEWEB-0153-ID-0111	2022-09-12 09:53:00	00:34:28.74	-08:06:40.34
ONEWEB-0129-ID-0090	2022-09-12 09:59:00	09:26:32.70	-33:48:59.38
