Estado,Edad,Ratio.Pago,Salario,Dias.trabajados,Ausencias,Sexo,Estado.Civil,Departamento,Posicion,Desempeño
0,30,28.5,4167.066666666667,3317,1,Female,2,Admin Offices,Accountant I,Fully Meets
0,34,23,6962.466666666666,1420,17,Male,1,Admin Offices,Accountant I,Fully Meets
0,31,29,4330.333333333333,1154,3,Male,4,Admin Offices,Accountant I,Fully Meets
0,32,21.5,4332.733333333334,58,15,Female,2,Admin Offices,Administrative Assistant,N/A- too early to review
0,30,16.56,3388.3333333333335,940,2,Female,4,Admin Offices,Administrative Assistant,N/A- too early to review
1,30,20.5,3837.866666666667,730,15,Female,2,Admin Offices,Administrative Assistant,Fully Meets
0,33,55,6377.333333333333,691,19,Male,2,Admin Offices,Shared Services Manager,Fully Meets
1,33,55,3957.6666666666665,1636,19,Male,2,Admin Offices,Shared Services Manager,Fully Meets
0,31,34.95,3189.133333333333,1014,4,Female,2,Admin Offices,Sr. Accountant,90-day meets
0,39,34.95,3345.2,3247,16,Female,2,Admin Offices,Sr. Accountant,Fully Meets
0,63,80,3644.6666666666665,1973,12,Female,2,Executive Office,President & CEO,Fully Meets
0,38,65,3147.4,2787,15,Female,4,IT/IS,CIO,Exceptional
1,32,43,6155.2,432,9,Female,4,IT/IS,Database Administrator,Fully Meets
1,46,48.5,3913.9333333333334,27,7,Female,4,IT/IS,Database Administrator,Fully Meets
1,31,40.1,3500.3333333333335,6,1,Male,2,IT/IS,Database Administrator,N/A- too early to review
0,34,34,3855.6,972,20,Female,4,IT/IS,Database Administrator,N/A- too early to review
1,31,40,4675.4,1056,16,Female,2,IT/IS,Database Administrator,90-day meets
0,29,35.5,3935.0666666666666,1112,12,Male,1,IT/IS,Database Administrator,Exceptional
1,33,41,7333.333333333333,517,8,Male,2,IT/IS,Database Administrator,Fully Meets
0,33,42.75,3550,1112,13,Female,2,IT/IS,Database Administrator,Exceptional
0,36,39.55,3402.9333333333334,1014,13,Female,2,IT/IS,Database Administrator,Fully Meets
0,31,42.2,4327.933333333333,972,2,Male,2,IT/IS,Database Administrator,N/A- too early to review
1,30,45,4194,299,19,Male,1,IT/IS,Database Administrator,90-day meets
0,48,30.2,4429.4,1056,3,Male,2,IT/IS,Database Administrator,90-day meets
0,39,31.4,3854.3333333333335,972,5,Female,4,IT/IS,Database Administrator,90-day meets
0,37,65,6907.533333333334,2417,2,Male,4,IT/IS,IT Director,Exceptional
0,45,62,7091.133333333333,1771,4,Male,4,IT/IS,IT Manager - DB,Fully Meets
1,54,21,4954.133333333333,1395,14,Male,1,IT/IS,IT Manager - DB,Fully Meets
0,31,63,3566.133333333333,2111,6,Male,2,IT/IS,IT Manager - Infra,Needs Improvement
0,46.99999999999999,64,4200,1421,14,Male,4,IT/IS,IT Manager - Support,Exceeds
0,32,28.99,4352.533333333334,1908,9,Male,4,IT/IS,IT Support,Fully Meets
0,49,31.4,4291.666666666667,2766,17,Female,4,IT/IS,IT Support,Fully Meets
0,29,26,4955.066666666667,2501,19,Female,4,IT/IS,IT Support,Exceeds
0,45,27.49,4250.866666666667,2361,3,Female,2,IT/IS,IT Support,Fully Meets
0,30,45,4144.133333333333,1056,15,Male,1,IT/IS,Network Engineer,90-day meets
0,28,42,5179.466666666666,972,4,Male,2,IT/IS,Network Engineer,N/A- too early to review
0,29,37,4842.666666666667,1056,14,Female,2,IT/IS,Network Engineer,90-day meets
0,37,39,6226.4,1056,3,Female,3,IT/IS,Network Engineer,Fully Meets
0,30,43,3523.0666666666666,972,14,Male,4,IT/IS,Network Engineer,N/A- too early to review
0,39,27,6668.733333333334,1014,7,Female,2,IT/IS,Network Engineer,Fully Meets
0,37,47,4790.666666666667,1153,7,Female,2,IT/IS,Network Engineer,Fully Meets
1,30,28,4110.4,127,11,Male,2,IT/IS,Network Engineer,Fully Meets
0,49,49.1,7395.266666666666,972,8,Male,2,IT/IS,Network Engineer,N/A- too early to review
1,43,62,3615.8,444,11,Male,2,IT/IS,Sr. DBA,Fully Meets
1,31,61.3,4025.3333333333335,514,4,Female,4,IT/IS,Sr. DBA,N/A- too early to review
1,53,58.2,4453.866666666667,732,17,Male,4,IT/IS,Sr. DBA,Fully Meets
1,45,58.5,4319.066666666667,309,3,Female,4,IT/IS,Sr. DBA,90-day meets
1,66,54.1,4321.066666666667,1112,3,Female,2,IT/IS,Sr. Network Engineer,Fully Meets
1,32,56.2,4578.533333333334,1112,2,Male,2,IT/IS,Sr. Network Engineer,Fully Meets
1,35,53.8,4271.066666666667,514,9,Male,2,IT/IS,Sr. Network Engineer,N/A- too early to review
0,51.99999999999999,53,3957.9333333333334,1112,6,Male,4,IT/IS,Sr. Network Engineer,90-day meets
0,40,55.2,3358.2,972,5,Female,5,IT/IS,Sr. Network Engineer,N/A- too early to review
0,35,60,4207.2,3247,3,Female,4,Production,Director of Operations,Exceeds
0,49,54.5,3942.9333333333334,2309,16,Male,1,Production,Production Manager,Fully Meets
1,48,50.5,4536.733333333334,311,3,Male,4,Production,Production Manager,Fully Meets
0,34,55,11366.666666666666,668,15,Male,4,Production,Production Manager,Exceeds
0,44,51,4225.4,1165,6,Female,4,Production,Production Manager,Fully Meets
0,36,54,5570.133333333333,908,2,Male,1,Production,Production Manager,Fully Meets
1,45,48.5,3743.266666666667,1797,15,Male,2,Production,Production Manager,Fully Meets
1,41,42,6155.266666666666,581,5,Male,2,Production,Production Manager,Needs Improvement
0,36,55,4381.933333333333,1518,8,Female,2,Production,Production Manager,Exceeds
0,36,53,5668.533333333334,1928,19,Male,4,Production,Production Manager,Fully Meets
1,41,38.5,3838.866666666667,2032,1,Female,2,Production,Production Manager,Fully Meets
0,41.99999999999999,52,3752.9333333333334,1881,6,Female,2,Production,Production Manager,Fully Meets
0,41.99999999999999,53,3799.4,2686,2,Male,1,Production,Production Manager,Needs Improvement
0,40,55,3714.8,3244,14,Female,2,Production,Production Manager,Fully Meets
1,62,33.5,6746.6,98,8,Female,2,Production,Production Manager,Fully Meets
0,34,20,4104.533333333334,2336,5,Male,4,Production,Production Technician I,Exceeds
0,29,21,3885,3611,1,Female,2,Production,Production Technician I,Fully Meets
1,28,16,3545.9333333333334,57,9,Female,1,Production,Production Technician I,N/A- too early to review
0,41,23,6454.666666666667,2148,15,Female,4,Production,Production Technician I,Exceptional
0,35,22,3417.266666666667,1518,1,Male,5,Production,Production Technician I,N/A- too early to review
1,48,22,3948.733333333333,3065,17,Female,4,Production,Production Technician I,Fully Meets
1,44,17,4105.6,2,6,Female,2,Production,Production Technician I,N/A- too early to review
1,44,22,3089,170,15,Male,2,Production,Production Technician I,90-day meets
0,34,16.76,4708.066666666667,2106,16,Male,4,Production,Production Technician I,Fully Meets
1,40,18,9259.2,194,4,Male,1,Production,Production Technician I,Fully Meets
0,46.99999999999999,22,4949.4,2428,14,Female,4,Production,Production Technician I,Fully Meets
1,39,17,5012.533333333334,1602,4,Male,4,Production,Production Technician I,Fully Meets
0,46.99999999999999,16,4167.6,2064,6,Male,4,Production,Production Technician I,Fully Meets
0,59,22,4004.6666666666665,1560,7,Female,1,Production,Production Technician I,Fully Meets
0,28,16,3259.2,1238,8,Female,2,Production,Production Technician I,Exceeds
1,27,20,3619,439,3,Female,2,Production,Production Technician I,Fully Meets
1,48,20,3789.8,1476,5,Female,3,Production,Production Technician I,Fully Meets
0,35,20,4022.6666666666665,1336,16,Male,4,Production,Production Technician I,Fully Meets
0,67,16,3941.6,1154,19,Female,4,Production,Production Technician I,Fully Meets
0,39,19.5,6618.666666666667,1294,19,Female,4,Production,Production Technician I,Fully Meets
0,34,22,4785.066666666667,1602,17,Male,4,Production,Production Technician I,Fully Meets
1,34,21,4393.466666666666,1602,7,Female,4,Production,Production Technician I,90-day meets
0,30,22,3849.866666666667,2246,16,Female,4,Production,Production Technician I,Fully Meets
1,37,24.75,4270.466666666666,508,15,Male,2,Production,Production Technician I,Exceeds
0,40,15,3557.733333333333,1602,2,Male,4,Production,Production Technician I,Fully Meets
1,38,15,3902,440,19,Male,4,Production,Production Technician I,Needs Improvement
0,41,15.75,4840.6,1056,20,Female,2,Production,Production Technician I,90-day meets
1,31,19.75,3731,508,6,Female,4,Production,Production Technician I,N/A- too early to review
0,39,15,4679.133333333333,1973,7,Female,2,Production,Production Technician I,Fully Meets
1,40,23.5,11866.666666666666,1484,15,Male,2,Production,Production Technician I,Fully Meets
0,51,20,6623.4,1238,3,Male,2,Production,Production Technician I,PIP
0,35,21,4483.4,1294,7,Male,4,Production,Production Technician I,Fully Meets
0,39,22,4380.466666666666,1784,1,Female,2,Production,Production Technician I,Needs Improvement
0,31,16.75,3483.266666666667,2064,5,Female,4,Production,Production Technician I,Fully Meets
1,25.999999999999996,17,3544.733333333333,794,12,Female,2,Production,Production Technician I,Fully Meets
0,44,21.25,3422.4666666666667,1112,19,Male,4,Production,Production Technician I,Fully Meets
0,39,21,3433.6666666666665,1336,2,Male,2,Production,Production Technician I,90-day meets
1,34,17,3958,908,7,Male,4,Production,Production Technician I,Needs Improvement
1,29,18,3662.2,8,15,Female,4,Production,Production Technician I,N/A- too early to review
1,63,20,3854.3333333333335,922,3,Female,2,Production,Production Technician I,Fully Meets
0,28,18,4103.666666666667,930,20,Male,2,Production,Production Technician I,N/A- too early to review
0,31,23,7653.333333333333,2106,10,Female,4,Production,Production Technician I,Fully Meets
0,37,24,4978.6,2148,20,Female,2,Production,Production Technician I,Fully Meets
0,32,19,3534.5333333333333,972,7,Male,4,Production,Production Technician I,N/A- too early to review
