ID,Age,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan
1,25,49,91107,4,"1,60",1,0,0
2,45,34,90089,3,"1,50",1,0,0
3,39,11,94720,1,"1,00",1,0,0
4,35,100,94112,1,"2,70",2,0,0
5,35,45,91330,4,"1,00",2,0,0
6,37,29,92121,4,"0,40",2,155,0
7,53,72,91711,2,"1,50",2,0,0
8,50,22,93943,1,"0,30",3,0,0
9,35,81,90089,3,"0,60",2,104,0
10,34,180,93023,1,"8,90",3,0,1
11,65,105,94710,4,"2,40",3,0,0
12,29,45,90277,3,"0,10",2,0,0
13,48,114,93106,2,"3,80",3,0,0
14,59,40,94920,4,"2,50",2,0,0
15,67,112,91741,1,"2,00",1,0,0
16,60,22,95054,1,"1,50",3,0,0
17,38,130,95010,4,"4,70",3,134,1
18,42,81,94305,4,"2,40",1,0,0
19,46,193,91604,2,"8,10",3,0,1
20,55,21,94720,1,"0,50",2,0,0
21,56,25,94015,4,"0,90",2,111,0
22,57,63,90095,3,"2,00",3,0,0
23,29,62,90277,1,"1,20",1,260,0
24,44,43,91320,2,"0,70",1,163,0
25,36,152,95521,2,"3,90",1,159,0
26,43,29,94305,3,"0,50",1,97,0
27,40,83,95064,4,"0,20",3,0,0
28,46,158,90064,1,"2,40",1,0,0
29,56,48,94539,1,"2,20",3,0,0
30,38,119,94104,1,"3,30",2,0,1
31,59,35,93106,1,"1,20",3,122,0
32,40,29,94117,1,"2,00",2,0,0
33,53,41,94801,2,"0,60",3,193,0
34,30,18,91330,3,"0,90",3,0,0
35,31,50,94035,4,"1,80",3,0,0
36,48,81,92647,3,"0,70",1,0,0
37,59,121,94720,1,"2,90",1,0,0
38,51,71,95814,1,"1,40",3,198,0
39,42,141,94114,3,"5,00",3,0,1
40,38,80,94115,4,"0,70",3,285,0
41,57,84,92672,3,"1,60",3,0,0
42,34,60,94122,3,"2,30",1,0,0
43,32,132,90019,4,"1,10",2,412,1
44,39,45,95616,1,"0,70",1,0,0
45,46,104,94065,1,"5,70",1,0,0
46,57,52,94720,4,"2,50",1,0,0
47,39,43,95014,3,"0,70",2,153,0
48,37,194,91380,4,"0,20",3,211,1
49,56,81,95747,2,"4,50",3,0,0
50,40,49,92373,1,"1,80",1,0,0
51,32,8,92093,4,"0,70",2,0,0
52,61,131,94720,1,"2,90",1,0,0
53,30,72,94005,1,"0,10",1,207,0
54,50,190,90245,3,"2,10",3,240,1
55,29,44,95819,1,"0,20",3,0,0
56,41,139,94022,2,"8,00",1,0,0
57,55,29,94005,3,"0,10",2,0,0
58,56,131,95616,2,"1,20",3,0,1
59,28,93,94065,2,"0,20",1,0,0
60,31,188,91320,2,"4,50",1,455,0
61,49,39,90404,3,"1,70",2,0,0
62,47,125,93407,1,"5,70",1,112,0
63,42,22,90089,1,"1,00",1,0,0
64,42,32,94523,4,"0,00",2,0,0
65,47,105,90024,2,"3,30",1,0,0
66,59,131,91360,1,"3,80",1,0,0
67,62,105,95670,2,"2,80",1,336,0
68,53,45,95123,4,"2,00",3,132,0
69,47,60,93407,3,"2,10",1,0,0
70,53,20,90045,4,"0,20",1,0,0
71,42,115,91335,1,"3,50",1,0,0
72,53,69,93907,4,"1,00",2,0,0
73,44,130,92007,1,"5,00",1,0,0
74,41,85,94606,1,"4,00",3,0,0
75,28,135,94611,2,"3,30",1,0,0
76,31,135,94901,4,"3,80",2,0,1
77,58,12,91320,3,"0,30",3,0,0
78,46,29,92220,3,"0,50",2,0,0
79,54,133,93305,2,"2,60",3,0,1
80,50,19,94720,2,"0,40",1,118,0
81,60,41,95134,4,"1,30",1,174,0
82,47,40,94612,3,"2,70",2,0,0
83,41,82,92507,1,"4,00",3,0,0
84,33,50,94305,1,"2,40",2,0,0
85,46,18,91730,1,"0,90",3,0,0
86,27,109,94005,4,"1,80",3,0,0
87,40,42,94501,4,"2,20",2,126,0
88,48,78,94305,3,"1,10",1,0,0
89,65,51,94117,2,"1,10",1,0,0
90,25,113,94303,4,"2,30",3,0,0
91,55,118,90277,4,"5,60",2,0,1
92,35,29,94105,4,"1,10",3,0,0
93,43,34,94305,3,"0,60",2,0,0
94,60,64,94550,2,"1,70",3,236,0
95,65,121,92612,1,"2,00",1,0,0
96,38,48,95617,4,"0,20",3,0,0
97,41,80,95014,1,"5,20",1,0,0
98,54,161,92121,1,"2,90",1,0,0
99,49,94,92374,1,"0,30",1,0,0
100,66,15,91711,3,"0,10",3,0,0
101,48,74,94080,1,"1,20",1,0,0
102,61,30,94608,3,"1,30",2,0,0
103,53,44,93555,3,"1,00",3,198,0
104,43,22,95670,2,"0,30",2,0,0
105,56,38,93311,4,"1,30",1,166,0
106,24,35,94704,3,"0,10",2,0,0
107,43,69,92717,4,"2,90",1,0,0
108,42,43,92037,1,"0,70",1,136,0
109,33,32,95136,1,"0,60",3,166,0
110,43,49,94542,1,"2,80",1,0,0
111,41,9,91330,3,"1,00",2,0,0
112,62,45,94143,4,"1,30",2,0,0
113,40,82,91775,3,"1,00",1,309,0
114,58,92,92703,2,"2,80",1,103,0
115,39,39,92354,3,"0,50",3,0,0
116,65,81,92024,3,"1,80",2,0,0
117,54,35,92831,1,"1,50",2,0,0
118,58,61,92833,2,"2,30",3,193,0
119,41,73,92647,3,"3,00",1,0,0
120,32,112,94304,1,"4,60",1,366,0
121,54,12,90057,2,"0,20",3,0,0
122,52,38,91711,3,"0,90",3,0,0
123,58,73,94523,2,"0,70",2,0,0
124,37,84,92130,1,"3,60",2,0,0
125,39,78,92121,4,"2,40",1,118,0
126,60,80,91301,3,"0,50",1,0,0
127,31,115,92096,2,"1,30",1,101,0
128,34,82,92646,1,"2,70",2,251,0
129,38,74,92182,2,"0,00",1,0,0
130,41,70,92131,3,"0,50",3,0,0
131,28,81,94801,3,"1,50",1,276,0
132,58,149,93720,4,"7,20",2,0,1
133,31,51,90840,2,"1,75",3,0,0
134,30,39,90245,3,"1,10",2,0,0
135,53,98,95035,3,"1,80",2,0,0
136,58,45,93010,4,"2,10",1,0,0
137,59,49,95035,4,"2,50",2,0,0
138,49,128,95054,2,"0,40",1,0,0
139,59,42,94928,3,"1,50",1,0,0
140,59,18,93305,1,"1,20",3,0,0
141,51,31,90245,2,"0,40",3,161,0
142,35,58,95831,3,"2,00",1,149,0
143,33,48,91770,1,"2,10",3,0,0
144,25,54,94117,4,"1,60",1,0,0
145,49,70,92093,2,"1,50",2,0,0
146,59,124,90007,1,"7,40",1,0,0
147,46,84,94102,1,"2,67",2,0,0
148,50,83,94542,4,"3,60",3,188,0
149,52,163,91423,2,"0,40",1,116,0
150,48,42,93955,3,"2,20",2,0,0
151,46,118,94107,2,"7,50",1,0,0
152,26,132,92834,3,"6,50",3,0,1
153,57,24,93117,1,"1,30",1,0,0
154,60,22,94551,2,"1,00",1,0,0
