ID,Income,Recency,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Seniority,Children
5524,58138.0,58,635,546,172,88,88,3,8,10,4,7,58,997,0
2174,46344.0,38,11,6,2,1,6,2,1,1,2,5,61,151,2
4141,71613.0,26,426,127,111,21,42,1,8,2,10,4,50,498,0
6182,26646.0,26,11,20,10,3,5,2,2,0,4,6,31,91,1
5324,58293.0,94,173,118,46,27,15,5,5,3,6,5,34,347,1
7446,62513.0,16,520,98,0,42,14,2,6,4,10,6,48,479,1
965,55635.0,34,235,164,50,49,27,4,7,3,7,6,44,779,1
6177,33454.0,32,76,56,3,1,23,2,4,0,4,8,30,514,1
4855,30351.0,19,14,24,3,3,2,1,3,0,2,9,41,574,1
5899,5648.0,68,28,6,1,1,13,1,1,0,0,20,65,294,2
387,7500.0,59,6,11,11,1,16,1,2,0,3,8,39,779,0
2125,63033.0,82,194,480,225,112,30,1,3,4,8,2,56,412,0
8180,59354.0,53,233,53,3,5,14,3,6,1,5,6,63,412,2
2569,17323.0,38,3,17,6,1,5,1,1,0,3,8,28,813,0
2114,82800.0,23,1006,115,59,68,45,1,7,6,12,3,69,768,0
9736,41850.0,51,53,19,2,13,4,3,3,0,3,8,35,738,2
4939,37760.0,20,84,38,150,12,28,2,4,1,6,7,69,853,0
6565,76995.0,91,1012,498,0,16,176,2,11,4,9,5,66,644,1
2278,33812.0,86,4,19,30,24,39,2,2,1,3,6,30,1026,1
9360,37040.0,41,86,73,69,38,48,1,4,2,5,8,33,876,0
5376,2447.0,42,1,1725,1,1,1,15,0,28,0,1,36,579,1
1993,58607.0,63,867,86,0,0,19,3,2,3,9,8,66,739,1
4047,65324.0,0,384,102,21,32,5,3,6,2,9,4,61,61,1
1409,40689.0,69,270,27,39,6,99,7,7,1,5,8,64,654,1
7892,18589.0,89,6,25,15,12,13,2,2,1,3,7,46,699,0
2404,53359.0,4,173,30,3,6,41,4,5,1,4,7,39,584,2
9422,38360.0,26,36,42,20,21,10,2,2,1,4,3,26,580,1
1966,84618.0,96,684,801,21,66,0,1,6,9,10,2,50,405,0
6864,10979.0,34,8,10,2,2,4,2,3,0,3,5,26,224,0
3033,38620.0,56,112,44,34,22,89,1,2,5,3,3,52,422,0
5710,40548.0,31,110,5,2,0,3,2,2,1,4,5,45,813,1
7373,46610.0,8,96,96,33,22,43,6,4,1,6,6,63,794,2
8755,68657.0,4,482,471,119,68,22,1,3,5,9,7,69,680,0
10738,49389.0,55,40,19,2,1,3,1,2,0,3,7,64,490,2
4339,67353.0,37,702,151,0,8,35,5,5,6,12,2,45,366,1
10755,23718.0,76,6,14,15,7,36,3,3,1,2,7,39,691,1
8595,42429.0,99,55,6,2,0,4,2,1,1,3,5,42,60,1
2968,48948.0,53,437,206,160,49,42,2,7,10,5,6,72,729,0
8601,80011.0,3,421,536,82,178,102,2,8,6,5,4,35,612,1
